Unnamed: 0,CollegeName,TotalRegistrations
2813,(KIET) KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
861,#NAME?,1
2799,.,1
2789,10KINFO DATA SOLUTIONS,1
2790,9553277602,1
2791,A M REDDY MEMORIAL COLLEGE OF ENGINEERING &TECHNOLOGY,1
2792,A.S.N DEGREE COLLEGE,1
2793,AACHARYA NAGARJUNA UNIVERSITY CENTRE FOR DISTANCE EDUCATION,1
93,AARM - AAR MAHAVEER ENGINEERING COLLEGE,51
2794,AASU DEVELOPER,1
2795,ABES INSTITUTE OF TECHNOLOGY,1
2796,ABHINAV BALAJI,1
435,ACCENTURE,4
22,ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),265
2797,ACHARYA INSTITUTE OF MANAGEMENT AND SCIENCES,1
571,"ACHARYA INSTITUTE OF TECHNOLOGY , BANGALORE",2
2798,ACHARYA N G RANGA AGRICULTURAL UNIVERSITY,1
244,ACHARYA NAGARJUNA UNIVERSITY,9
2763,ACME COLLEGE OF ARTS & SCIENCES,4
2801,ACME DEGREE COLLEGE MALAKPET HYDERABAD,11
2802,ACT FIBERNET,1
2803,AD,1
868,ADAMAS UNIVERSITY,1
869,ADAMS ENGINEERING COLLEGE,1
829,ADARSH COLLEGE OF ENGINEERING,2
870,ADARSH INSTITUTE OF TECHNOLOGY AND RESEARCH CENTRE VITA,1
871,ADDANKI VAISHNAVI,1
872,ADDIS ABABA UNIVERSITY,1
873,ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY,1
569,ADIKAVI NANNAYYA UNIVERSITY,3
2784,"ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,SURAMPALEM",47
206,ADITYA DEGREE COLLEGE,12
2785,ADITYA DEGREE COLLEGE FOR WOMEN,1
2786,ADITYA DEGREE COLLEGE FOR WOMEN RAJAHMUNDRY,1
2787,ADITYA DEGREE COLLEGE KAKINADA,1
2756,ADITYA DEGREE COLLEGE VIZIANAGARAM,1
334,ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,6
2758,ADITYA UNIVERISTY,7
2760,AERONAUTICAL ENGINEERING COLLEGE,1
2761,AEROSTAR ENGINEERING,1
2762,AIAT,1
2720,AICTE AFFILIATED,1
2740,AIML,1
335,AIMS DEGREE COLLEGE,6
180,AITH - ANNAMACHARYA INST OF TECHNOLOGY AND SCI,16
2742,AJ INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
2743,AJEENKYA DY PATIL UNIVERSITY LOHEGAON PUNE,2
2745,AKASH TECH,1
2746,AKBAR PEERBHOY COLLEGE OF COMMERCE AND ECONOMICS,1
439,AKIT - ABDULKALAM INST OF TECHNOLOGY AND SCI,4
2747,AKNU UNIVERSITY MSN CAMPUS,1
472,AKSHAYA WOMEN'S DEGREE COLLEGE,3
2748,AL,1
2749,AL AMEEN ENGINEERING COLLEGE,1
2750,ALIGARH MUSLIM UNIVERSITY,1
2684,ALLANA INSTITUTE OF MANAGEMENT SCIENCES,1
356,ALLIANCE UNIVERSITY,5
2708,ALML,1
2709,ALNM WOMEN'S DEGREE COLLEGE,1
522,ALPHORES WOMEN'S DEGREE AND PG COLLEGE,11
2716,ALVA'S INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
2717,AMAZON,1
2718,AMAZON ADS,1
2719,"AMBEDKAR COLLEGE OF MANAGEMENT, BAGH LIMGAMPALLI",1
455,AMITY UNIVERSITY,3
2707,AMITY UNIVERSITY BENGALURU,1
2676,AMITY UNIVERSITY KOLKATA,1
605,AMITY UNIVERSITY MUMBAI,2
2677,AMRITA,1
410,AMRITA SAI INSTITUTE OF SCIENCE AND TECHNOLOGY,4
2678,AMRITA SCHOOL OF ARTS AND SCIENCE,1
2679,AMRITA SCHOOL OF ENGINEERING,1
604,"AMRITA SCHOOL OF ENGINEERING, BENGALURU",2
635,AMRITA UNIVERSITY,2
88,AMRITA VISHWA VIDHYAPEETHAM,87
2628,AMRITA VISHWA VIDYAPEETHAM - BENGALURU,2
541,AMRITA VISHWA VIDYAPEETHAM CHENNAI,3
2630,AMRITA VISHWA VIDYAPEETHAM MYSURU CAMPUS,1
2633,"AMRITA VISHWA VIDYAPEETHAM, COIMBATORE",1
2636,"AMRITA VISWA VIDYAPEETHAM, AMRAVATI",6
2637,AMRITASAI INSTITUTE OF SCIENCE AND TECHNOLOGY,1
2638,AMS ARTS AND SCIENCE COLLEGE FOR WOMEN,1
2639,ANANTHA LAKSHMI INSTITUTE OF TECHNOLOGY AND SCIENCES,1
2640,ANDERSON UNIVERSITY SOUTH CAROLINA USA,1
454,ANDHRA LOYOLA COLLEGE,3
2574,ANDHRA LOYOLA INSTITUTE OF ENGINEERING & TECHNOLOGY,9
2596,"ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY COLLEGE IN VIJAYAWADA, ANDHRA PRADESH",1
2597,"ANDHRA MAHILA SABHA ARTS AND SCIENCE COLLEGE, OSMANIA UNIVERSITY",1
210,ANDHRA UNIVERSITY,51
304,ANDHRA UNIVERSITY COLLEGE OF ENGINEERING FOR WOMEN,6
