,CollegeName,TotalRegistrations,State
1,ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),1324,Telangana
2,VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,852,Telangana
3,CMRK - C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),798,Telangana
4,VMEG - VARDHAMAN COLLEGE OF ENGINEERING,797,Telangana
5,SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,752,Telangana
6,JNTH - JNTU COLLEGE OF ENGG HYDERABAD,682,Telangana
7,BVRW - BVRIT COLLEGE OF ENGINEERING FOR WOMEN,637,Telangana
8,MLID - M L R INSTITUTE OF TECHNOLOGY,553,Telangana
9,MVSR - M V S R ENGINEERING COLLEGE (AUTONOMOUS),531,Telangana
10,VJIT - VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,468,Telangana
11,CBIT - CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,463,Telangana
12,GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,459,Telangana
13,VBIT - VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),439,Telangana
14,MRCW - MALLA REDDY ENGG COLLEGE FOR WOMEN (AUTONOMOUS),430,Telangana
15,COLLEGE,407,-
16,MLRD - MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),344,Telangana
17,IARE - INSTITUTE OF AERONAUTICAL ENGINEERING,323,Telangana
18,GNTW - G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,319,Telangana
19,STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),313,Telangana
20,RITW - RISHI MS INST OF ENGG AND TECH FOR WOMEN,284,Telangana
21,GCTC - GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),265,Telangana
22,ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),265,Telangana
23,BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,259,Telangana
24,MECS - MATRUSRI ENGINEERING COLLEGE,246,Telangana
25,VASV - VASAVI COLLEGE OF ENGINEERING,241,Telangana
