CollegeName,TotalRegistrations,State
ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),1264,Telangana
VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,810,Telangana
CMRK - C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),773,Telangana
VMEG - VARDHAMAN COLLEGE OF ENGINEERING,738,Telangana
JNTH - JNTU COLLEGE OF ENGG HYDERABAD,651,Telangana
SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,642,Telangana
BVRW - BVRIT COLLEGE OF ENGINEERING FOR WOMEN,596,Telangana
MLID - M L R INSTITUTE OF TECHNOLOGY,533,Telangana
MVSR - M V S R ENGINEERING COLLEGE (AUTONOMOUS),496,Telangana
VJIT - VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,441,Telangana
GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,424,Telangana
VBIT - VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),420,Telangana
MRCW - MALLA REDDY ENGG COLLEGE FOR WOMEN (AUTONOMOUS),409,Telangana
COLLEGE,407,West Bengal
CBIT - CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,403,Telangana
MLRD - MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),316,Telangana
STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),295,Telangana
IARE - INSTITUTE OF AERONAUTICAL ENGINEERING,294,Telangana
RITW - RISHI MS INST OF ENGG AND TECH FOR WOMEN,273,Telangana
GCTC - GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),265,Telangana
GNTW - G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,261,Telangana
ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),235,Telangana
BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,230,Telangana
IFHE HYDERABAD,229,Telangana
MECS - MATRUSRI ENGINEERING COLLEGE,225,Telangana
MRU - MALLA REDDY UNIVERSITY,220,Telangana
VASV - VASAVI COLLEGE OF ENGINEERING,213,Telangana
CMRG - CMR TECHNICAL CAMPUS (AUTONOMOUS),206,Telangana
MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,194,Telangana
VGNT - VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,193,Telangana
VGWL - VAGDEVI ENGINEERING COLLEGE,185,Telangana
KMIT - KESHAV MEMORIAL INST OF TECHNOLOGY,183,Telangana
MRCE - MALLA REDDY COLLEGE OF ENGINEERING,181,Telangana
SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),180,Telangana
KPRT - KOMMURI PRATAP REDDY INST OF TECHNOLOGY,172,Telangana
GCTC - GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),162,Telangana
SPHN - SPHOORTHY ENGINEERING COLLEGE,161,Telangana
NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,158,Telangana
MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),154,Telangana
PALV - PALLAVI ENGINEERING COLLEGE,152,Telangana
