CollegeName,TotalRegistrations
ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),3
AMRITA VISHWA VIDYAPEETHAM,1
ANRK - ANURAG ENGINEERING COLLGE,1
ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),104
BALAJI INSTITUTE OF TECHNOLOGY AND SCIENCE,2
BITN - BALAJI INSTITUTE OF TECHNOLOGY AND SCI,22
BREW - BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,2
BRIL - BRILLIANT INSTT OF ENGG AND TECHNOLOGY,1
BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,27
BVRW - BVRIT COLLEGE OF ENGINEERING FOR WOMEN,7
CBIT - CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,1
CMRK - C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),1
CMRN - CMR ENGG COLLEGE (AUTONOMOUS),1
CVRH - CVR COLLEGE OF ENGINEERING,1
College,2
College ,3
DHANALAKSHMI SRINIVASAN UNIVERSITY,4
ELEN - ELLENKI COLLGE OF ENGG AND TECHNOLOGY,1
GCTC - GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),54
GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY,1
GITAM - GITAM UNIVERSITY,4
GITAM HYDERABAD,2
GLWC - GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE,8
GNIT - GURUNANAK INST OF TECHNOLOGY,1
GNTW - G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,8
GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,32
HITM - HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),1
IARE - INSTITUTE OF AERONAUTICAL ENGINEERING,7
IFHE(ICFAI FOUNDATION OF HIGHER EDDUCATION) HYDERABAD,19
IIITH - INTERNATIONAL INSTITUTE OF INFORMATION AND TECHNOLOGY,1
"IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,SIDDIPET",9
INDI - SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
INDIAN INSTITUTE OF TECHNOLOGY VARANASI,1
INDU - SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,2
IOES -GOVERNMENT INSTITUTE OF ELECTRONICS,4
JBIT - J B INSTITUTE OF ENGG AND TECHNOLOGY,4
JNKR - JNTU COLLEGE OF ENGINEERING JAGITIAL,1
JNTH - JNTU COLLEGE OF ENGG HYDERABAD,27
JNTHMT - JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,2
JNTM - JNTU COLLEGE OF ENGG MANTHANI,1
JOGI - JOGINPALLY B R ENGINEERING COLLEGE,1
KCEA - KSHATRIYA COLLEGE OF ENGINEERING,1
KGRH - KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),36
KLH - K L UNIVERSITY ,1
KMEC - KESHAV MEMORIAL ENGINEERING COLLEGE,3
KMIT - KESHAV MEMORIAL INST OF TECHNOLOGY,5
KPRT - KOMMURI PRATAP REDDY INST OF TECHNOLOGY,1
KUWL - KAKATIYA UNIVERSITY ,1
MREW - MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN,4
MALLAREDDY GROUP,1
MECS - MATRUSRI ENGINEERING COLLEGE,11
METH - METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),1
MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,35
MHVR - MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,1
MLID - M L R INSTITUTE OF TECHNOLOGY,2
MLRD - MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),8
MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),5
MLTM - MALLA REDDY INSTITUTE OF TECHNOLOGY,1
MRCE - MALLA REDDY COLLEGE OF ENGINEERING,42
MREM - MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,1
MRET - MALLAREDDY INST OF ENGG AND TECHNOLOGY,1
MRIT - MALLAREDDY INST OF TECHNOLOGY AND SCI,1
MRTN - ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),8
MRU - MALLA REDDY UNIVERSITY,3
MVGR COLLEGE OF ENGINEERING,2
MVSR - M V S R ENGINEERING COLLEGE (AUTONOMOUS),1
NALLA MALLA REDDY ENGINEERING COLLEGE,2
NGIT - NEIL GOGTE INST OF TECHNOLOGY,2
NIAT ,1
NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,27
NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),25
Nextwave,1
OUCE - OSMANIA UNIVERSITY COLLEGE OF ENGINEERING,5
PARUL UNIVERSITY,1
SDEW - SRIDEVI WOMENS ENGINEERING COLLEGE,1
SISG - SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,1
SMSK - SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY,4
SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,167
SNTI - SCIENT INSTITUTE OF TECHNOLOGY,4
SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),29
SRHP - SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),4
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,2
SRYS - SREYAS INST OF ENGG AND TECHNOLOGY,2
ST FRANCIS WOMENS COLLEGE,1
STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),30
SVIT - SWAMI VIVEKANANDA INST OF TECHNOLOGY,3
SWRN - SWARNANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,1
TRRM - TRR GROUP OF INSTITUTIONS,1
VAGE - VAAGDEVI COLLEGE OF ENGINEERING,14
VASV - VASAVI COLLEGE OF ENGINEERING,17
VBIT - VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),10
VGNT - VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,7
VGWL - VAGDEVI ENGINEERING COLLEGE,5
VIGNAN FOUNDATION FOR SCIENCE AND TECHNOLOGY,1
VIGNAN UNIVERSITY,1
VIT - VELLORE INSTITUTE OF TECHNOLOGY,14
VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,133
VJIT - VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,13
VMEG - VARDHAMAN COLLEGE OF ENGINEERING,11
VMTW - VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,5
VNRVJIET,1
